INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092ADJ","50396","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-01-03","89.36","82.83","248","238","","","0","SMALL","8306","1982","92","ADJ","Y","COSMOS 1408 DEB","1982-092ADJ","50396"
"1982-092ADK","50397","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-03-17","88.29","82.77","200","180","","","0","SMALL","8004","1982","92","ADK","Y","COSMOS 1408 DEB","1982-092ADK","50397"
"1982-092ADL","50398","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-06-22","91.96","82.98","431","311","","","0","SMALL","8094","1982","92","ADL","Y","COSMOS 1408 DEB","1982-092ADL","50398"
"1982-092ADM","50399","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-05-27","87.99","82.54","187","163","","","0","SMALL","8069","1982","92","ADM","Y","COSMOS 1408 DEB","1982-092ADM","50399"
"1982-092ADN","50400","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-05-04","90.14","82.99","283","280","","","0","SMALL","8091","1982","92","ADN","Y","COSMOS 1408 DEB","1982-092ADN","50400"
"1982-092ADP","50401","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-02","88.28","82.54","196","183","","","0","SMALL","8023","1982","92","ADP","Y","COSMOS 1408 DEB","1982-092ADP","50401"
"1982-092ADQ","50402","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-06-22","90.14","83.07","295","268","","","0","SMALL","8098","1982","92","ADQ","Y","COSMOS 1408 DEB","1982-092ADQ","50402"
"1982-092ADR","50403","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-11","88.95","83.66","231","213","","","0","SMALL","7970","1982","92","ADR","Y","COSMOS 1408 DEB","1982-092ADR","50403"
"1982-092ADS","50404","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","101.36","82.25","1186","461","","","0","SMALL","8481","1982","92","ADS","Y","COSMOS 1408 DEB","1982-092ADS","50404"
"1982-092ADT","50405","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-01-02","93.17","82.15","530","329","","","0","SMALL","8286","1982","92","ADT","Y","COSMOS 1408 DEB","1982-092ADT","50405"
